"All crash data available using this tool represents reportable data collected from Texas Peace Officer's Crash Reports (CR-3) received and processed by the Texas Department of Transportation (Department) as of 03/18/2024. The Department makes no warranty, representation or guaranty as to the content, accuracy, timeliness or completeness of any of the information provided as a result of your query. Any opinions and conclusions resulting from analysis performed on the crash data must be represented as your own and not those of the State of Texas or the Department. "

"Query Result Counts:"
"Your query returned a total of 1,343 Crashes containing 2,733 Units and 3,018 Persons"

"Filters Applied to current Query:"
"Crash Year Is In  2014 or 2015 or 2016 or 2017 or 2018 or 2019 or 2020 or 2021 or 2022 or 2023 or 2024"
"City Is Equal To DALLAS"
"Person Type Is Equal To 3 - PEDALCYCLIST"


"Crash ID","Active School Zone Flag","Agency","At Intersection Flag","Case ID","City","Construction Zone Flag","Construction Zone Workers Present Flag","Contributing Factors","Crash Date","Crash Death Count","Crash Month","Crash Non-Suspected Serious Injury Count","Crash Not Injured Count","Crash Number","Crash Possible Injury Count","Crash Severity","Crash Suspected Serious Injury Count","Crash Time","Crash Total Injury Count","Crash Unknown Injury Count","Crash Year","Day of Week","Hour of Day","How Notified","Intersecting Street Name","Intersecting Street Number","Intersection Related","Latitude","Light Condition","Located Flag","Longitude","Manner of Collision","Object Struck","Property Damages","Reported Street Description","Road Base Type","Roadway Type","Street Name","Street Number","Surface Condition","Surface Type","Weather Condition"
"13648129","NO","DALLAS POLICE DEPARTMENT","false","16287B","DALLAS","No","No","PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE","2014-01-20","0","1","0","1","2014012837","1","C - POSSIBLE INJURY","0","1430","1","0","2014","MONDAY","14:00 - 14:59","No Data","N/A","NO DATA","NON INTERSECTION","32.75482861","1 - DAYLIGHT","No Data","-96.76405779","ONE MOTOR VEHICLE - GOING STRAIGHT","NOT APPLICABLE","NONE","No Data","No Data","No Data","POPLAR ST","2273","1 - DRY","No Data","1 - CLEAR"
"13654368","NO","DALLAS POLICE DEPARTMENT","false","18472B","DALLAS","No","No","CHANGED LANE WHEN UNSAFE","2014-01-23","0","1","0","1","2014017367","0","A - SUSPECTED SERIOUS INJURY","1","0710","1","0","2014","THURSDAY","07:00 - 07:59","No Data","N/A","NO DATA","NON INTERSECTION","32.93288423","1 - DAYLIGHT","No Data","-96.82023255","ONE MOTOR VEHICLE - GOING STRAIGHT","NOT APPLICABLE","NONE","No Data","No Data","No Data","ALPHA RD","5200","1 - DRY","No Data","2 - CLOUDY"
"13662361","NO","DALLAS POLICE DEPARTMENT","false","23199B","DALLAS","No","No","SPEEDING - (OVERLIMIT);OTHER (EXPLAIN IN NARRATIVE)","2014-01-28","0","1","0","1","2014023197","1","C - POSSIBLE INJURY","0","1720","1","0","2014","TUESDAY","17:00 - 17:59","No Data","N/A","NO DATA","NON INTERSECTION","32.77204572","1 - DAYLIGHT","No Data","-96.75044046","ONE MOTOR VEHICLE - GOING STRAIGHT","NOT APPLICABLE","NONE","No Data","No Data","No Data","JAMAICA ST","3900","1 - DRY","No Data","1 - CLEAR"
"13663269","NO","DALLAS POLICE DEPARTMENT","false","23935B","DALLAS","No","No","WRONG SIDE - NOT PASSING","2014-01-29","0","1","0","1","2014024096","0","N - NOT INJURED","0","1600","0","1","2014","WEDNESDAY","16:00 - 16:59","No Data","N/A","NO DATA","NON INTERSECTION","32.88115424","1 - DAYLIGHT","No Data","-96.88979499","ONE MOTOR VEHICLE - GOING STRAIGHT","NOT APPLICABLE","NONE","No Data","No Data","No Data","WALNUT HILL LN","NO DATA","1 - DRY","No Data","1 - CLEAR"
"13675011","NO","DALLAS POLICE DEPARTMENT","true","28434B","DALLAS","No","No","WRONG WAY - ONE WAY ROAD","2014-02-03","0","2","0","1","2014033923","0","A - SUSPECTED SERIOUS INJURY","1","1828","1","0","2014","MONDAY","18:00 - 18:59","No Data","ASH LN","NO DATA","INTERSECTION","32.78130325","3 - DARK, LIGHTED","No Data","-96.7685586","ONE MOTOR VEHICLE - GOING STRAIGHT","NOT APPLICABLE","NONE","No Data","No Data","4 OR MORE LANES, UNDIVIDED","SH0352","3556","1 - DRY","No Data","2 - CLOUDY"
"13673278","NO","DALLAS POLICE DEPARTMENT","true","28825B","DALLAS","No","No","FAILED TO YIELD RIGHT OF WAY - STOP SIGN","2014-02-04","0","2","1","1","2014030852","1","B - SUSPECTED MINOR INJURY","0","1020","2","0","2014","TUESDAY","10:00 - 10:59","No Data","OVELLA AVE","NO DATA","INTERSECTION","32.85510295","1 - DAYLIGHT","No Data","-96.86825241","ONE MOTOR VEHICLE - GOING STRAIGHT","NOT APPLICABLE","NONE","No Data","No Data","4 OR MORE LANES, DIVIDED","SL0012","NO DATA","1 - DRY","No Data","2 - CLOUDY"
"13725797","NO","DALLAS POLICE DEPARTMENT","false","40603B","DALLAS","No","No","PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE","2014-02-18","0","2","1","1","2014080379","0","B - SUSPECTED MINOR INJURY","0","1759","1","0","2014","TUESDAY","17:00 - 17:59","No Data","N/A","NO DATA","NON INTERSECTION","32.70751427","1 - DAYLIGHT","No Data","-96.74565259","ONE MOTOR VEHICLE - GOING STRAIGHT","NOT APPLICABLE","NONE","No Data","No Data","No Data","CHERBOURG ST","4500","1 - DRY","No Data","1 - CLEAR"
"13718213","NO","DALLAS POLICE DEPARTMENT","false","45724B","DALLAS","No","No","OTHER (EXPLAIN IN NARRATIVE)","2014-02-22","0","2","0","0","2014071651","1","C - POSSIBLE INJURY","0","1605","1","1","2014","SATURDAY","16:00 - 16:59","No Data","N/A","NO DATA","NON INTERSECTION","32.84898424","1 - DAYLIGHT","No Data","-96.6590826","ONE MOTOR VEHICLE - GOING STRAIGHT","NOT APPLICABLE","NONE","No Data","No Data","No Data","ALTURA AVE","3500","1 - DRY","No Data","1 - CLEAR"
"13713864","NO","DALLAS POLICE DEPARTMENT","true","48212B","DALLAS","No","No","FAILED TO YIELD RIGHT OF WAY - OPEN INTERSECTION","2014-02-27","0","2","0","0","2014069808","0","A - SUSPECTED SERIOUS INJURY","1","1850","1","1","2014","THURSDAY","18:00 - 18:59","No Data","US0175","NO DATA","INTERSECTION","32.73064484","4 - DARK, UNKNOWN LIGHTING","No Data","-96.68290114","ONE MOTOR VEHICLE - GOING STRAIGHT","NOT APPLICABLE","NONE","No Data","No Data","4 OR MORE LANES, DIVIDED","SL0012","NO DATA","1 - DRY","No Data","1 - CLEAR"
"13714163","NO","DALLAS POLICE DEPARTMENT","true","49221B","DALLAS","No","No","PEDESTRIAN FAILED TO YIELD RIGHT OF WAY TO VEHICLE","2014-02-28","0","2","0","0","2014070108","2","C - POSSIBLE INJURY","0","2209","2","0","2014","FRIDAY","22:00 - 22:59","No Data","TWYMAN AVE","NO DATA","INTERSECTION","32.76602426","3 - DARK, LIGHTED","No Data","-96.76474258","ONE MOTOR VEHICLE - GOING STRAIGHT","NOT APPLICABLE","NONE","No Data","No Data","No Data","S MALCOLM X BLVD","3466","1 - DRY","No Data","1 - CLEAR"
